Gene,Alpha,Beta,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.5,0.5,0.059901515452056464,0.06220246360137993,0.0023009481493234674,0.5286120285736201
Sox2,0.5,0.5,0.2803635894791114,0.4434994908821718,0.1631359014030604,0.47023580920192265
Esrrb,0.5,0.5,0.015342960288808598,0.015342960288808598,0.0,0.11913357400721664
Dppa3,0.5,0.5,0.0009025270758122521,0.0009025270758122521,0.0,0.0036101083032488747
Zfp42,0.5,0.5,0.09881762341148678,0.04323203871940311,-0.055585584692083675,0.23733005607189261
Jarid2,0.5,0.5,0.9118416180690312,0.4634352560796673,-0.4484063619893639,0.6078347031261888
Klf2,0.5,0.5,0.024183923777786585,0.021431712090556828,-0.0027522116872297567,0.06536600353329548
Klf4,0.5,0.5,0.04807692307692225,0.06990700334563064,0.021830080268708398,0.097242491742838
Nr0b1,0.5,0.5,0.0,0.0,0.0,0.0
Fgf4,0.5,0.5,0.0,0.0,0.0,0.0
Zic2,0.5,0.5,0.07876201716454437,0.05880972216712225,-0.01995229499742212,0.8044243029418537
Zic3,0.5,0.5,0.13319878076195787,0.19384165774057263,0.06064287697861476,0.07952991781242713
Dppa2,0.5,0.5,0.10904956956401056,0.1804326840427893,0.07138311447877875,0.6806820800368633
Dppa4,0.5,0.5,0.05649968262784097,0.042522083812697245,-0.013977598815143724,0.0984868269452326
Dnmt3a,0.5,0.5,0.12389250340514071,0.07379315930759983,-0.05009934409754088,0.340947845456637
Dnmt3b,0.5,0.5,0.17460840903981711,0.0986275307123694,-0.07598087832744771,1.4464859052154304
Fgf5,0.5,0.5,0.01960434270903589,0.02163502862961343,0.002030685920577542,0.028757969122052595
Pou3f1,0.5,0.5,0.06395462239325006,0.07301625871120411,0.00906163631795405,0.5654812197557324
Cer1,0.5,0.5,0.025677391200856808,0.023593809920524622,-0.0020835812803321856,0.01496274675474328
Wnt8a,0.5,0.5,0.00451263537906135,0.00451263537906135,0.0,0.04693140794223626
Cd24a,0.5,0.5,0.217554482220544,0.7293534534057765,0.5117989711852325,3.468208003686919
Sox1,0.5,0.5,0.08013729651816316,0.1109380992052473,0.03080080268708414,0.3083646977494404
Hoxb2,0.5,0.5,0.11480111344732505,0.09413142513322988,-0.020669688314095172,0.09324832936477627
Meis1,0.5,0.5,0.22871788259874742,0.13825772602848435,-0.09046015657026307,0.9281818880098316
Nes,0.5,0.5,0.06224626757117684,0.05123494135226949,-0.011011326218907352,0.273661571549274
Ascl1,0.5,0.5,0.009551744885679819,0.009702166064981869,0.00015042117930205018,0.023212228281742065
Pax6,0.5,0.5,1.5188464513825723,1.4398802911889745,-0.07896616019359781,0.4935555726246252
Sox11,0.5,0.5,0.17131980534507565,0.1819542521257304,0.010634446780654755,0.8915431292726014
Hoxa1,0.5,0.5,0.6378643167903099,0.5420402401449391,-0.09582407664537074,0.15124049466164705
Sox9,0.5,0.5,0.007897111913357367,0.008122743682310434,0.0002256317689530666,0.031722866579614394
Cdh2,0.5,0.5,0.15180472355562666,0.09551083693683061,-0.056293886618796043,4.5442507105000365
Pdgfra,0.5,0.5,0.26347261342748723,0.19725423493473884,-0.06621837849274839,0.2484983485674782
Fst,0.5,0.5,0.1758605413840041,0.09450665159148885,-0.08135388979251523,1.2423073968814813
Sparc,0.5,0.5,5.254185345340577,3.0629223363879,-2.191263008952677,39.36288501420999
Col4a2,0.5,0.5,0.7253788630142377,0.5330546409066246,-0.19232422210761313,3.8107381519317935
Gata4,0.5,0.5,0.07737681993097159,0.07480313008291367,-0.0025736898480579196,0.18297872340425528
Gata6,0.5,0.5,0.1979964229512955,0.14812353711270557,-0.049872885838589925,0.07029725785390575
Sox17,0.5,0.5,0.2022164808717151,0.17337115351555768,-0.028845327356157413,0.4526307704124739
Krt8,0.5,0.5,0.14720200076698223,0.0998656127266208,-0.04733638804036143,0.5148628926952901
Lamb1,0.5,0.5,1.6450523002869772,0.8605794025468859,-0.7844728977400913,3.232168369306401
Dab2,0.5,0.5,1.3171341294085004,0.988677087052531,-0.3284570423559694,1.37492894999616
