Gene,Alpha,Beta,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.5,0.5,3.814040833068483,2.9737593063051797,-0.8402815267633033,0.9306084359835761
Sox2,0.5,0.5,4.428275069686846,4.826098673300071,0.397823603613225,46.775961179543735
Esrrb,0.5,0.5,0.35374986768286115,0.6922682685861099,0.33851840090324875,12.784919746173628
Dppa3,0.5,0.5,0.05983601496065709,0.06050090857767809,0.0006648936170210035,1.2499066815975928
Zfp42,0.5,0.5,18.670343318866333,10.240766028015733,-8.4295772908506,6.792833146696458
Jarid2,0.5,0.5,21.08615720158033,14.588942036272181,-6.49721516530815,7.6989548338932465
Klf2,0.5,0.5,1.5161365160016134,2.469508397727612,0.9533718817259986,22.15961179544552
Klf4,0.5,0.5,1.65285937334608,3.646007109840736,1.9931477364946562,14.434901082493095
Nr0b1,0.5,0.5,1.9965553438481072,1.4280391041247715,-0.5685162397233356,0.4914147069802161
Fgf4,0.5,0.5,0.19876151159097527,0.29680079213859945,0.09803928054762417,7.18294139604315
Zic2,0.5,0.5,0.40568059525069283,0.3533092516142656,-0.05237134363642726,0.17383351997013796
Zic3,0.5,0.5,4.026466955999891,3.118635325147048,-0.9078316308528427,0.33665546845837957
Dppa2,0.5,0.5,5.362567040682834,4.235508406548665,-1.127058634134169,7.697275102650239
Dppa4,0.5,0.5,0.37429078014183526,0.1979658445361761,-0.17632493560565915,0.6024636058230681
Dnmt3a,0.5,0.5,0.21546743234183055,0.12850309622102188,-0.08696433612080867,1.132698768197089
Dnmt3b,0.5,0.5,1.157408436540666,0.7161561430436252,-0.44125229349704087,0.684994400895857
Fgf5,0.5,0.5,0.016548463356974005,0.015588061465721054,-0.0009604018912529513,0.017207913400522575
Pou3f1,0.5,0.5,0.010121158392434994,0.010638297872340436,0.0005171394799054416,0.07017543859649121
Cer1,0.5,0.5,0.003915484633569744,0.004432624113475181,0.0005171394799054372,0.0034341172079133983
Wnt8a,0.5,0.5,0.0014336561871491813,0.0012120249814754221,-0.00022163120567375919,0.0035087719298245606
Cd24a,0.5,0.5,0.07286991461133877,0.07102298789739071,-0.0018469267139480522,0.9311310190369433
Sox1,0.5,0.5,0.006427304964539011,0.005910165484633576,-0.0005171394799054355,0.010451661067562524
Hoxb2,0.5,0.5,0.0026595744680851085,0.0026595744680851085,0.0,0.010638297872340222
Meis1,0.5,0.5,0.003442230337673517,0.0032944762005576765,-0.00014775413711584032,0.03926838372526736
Nes,0.5,0.5,0.02705290039165876,0.029726368159204,0.0026734677675452415,0.06830907054871097
Ascl1,0.5,0.5,0.0,0.0,0.0,0.0
Pax6,0.5,0.5,0.009973404255319156,0.008348108747044926,-0.0016252955082742306,0.03157894736842108
Sox11,0.5,0.5,0.023033546804982204,0.019413570445644134,-0.00361997635933807,0.09757372153788714
Hoxa1,0.5,0.5,0.04536052009456246,0.045877659574468,0.0005171394799055387,0.020977976857035802
Sox9,0.5,0.5,0.02999408983451537,0.026743498817966924,-0.0032505910165484472,0.10526315789473656
Cdh2,0.5,0.5,0.049610326029426034,0.04961032602942603,-6.938893903907228e-18,0.010675625233295804
Pdgfra,0.5,0.5,0.003636074944426625,0.003636074944426625,0.0,0.007092198581560079
Fst,0.5,0.5,0.07761987932677057,0.07989176458134864,0.0022718852545780682,0.48100037327359757
Sparc,0.5,0.5,5.395135580960229,3.8886176387562634,-1.5065179422039656,0.47271369914145667
Col4a2,0.5,0.5,0.006575059101654851,0.006131796690307336,-0.0004432624113475149,0.024486748786860763
Gata4,0.5,0.5,0.0008865248226950354,0.0008865248226950354,0.0,0.0035460992907799375
Gata6,0.5,0.5,0.009162961786810093,0.00982785540383137,0.0006648936170212758,0.007017543859649122
Sox17,0.5,0.5,0.0029850746268654926,0.0029850746268654926,0.0,0.0
Krt8,0.5,0.5,0.05780119791115129,0.05463837726262137,-0.003162820648529921,0.010824934677117922
Lamb1,0.5,0.5,0.02656795808193043,0.02368675240817156,-0.0028812056737588694,0.010227696901829035
Dab2,0.5,0.5,0.0033983451536643053,0.0035460992907801452,0.0001477541371158399,7.465472191095805e-05
